kabkota_code,kabkota_name,week_start_date,t_mean,t_min,t_max,hu_mean,ws_mean,tcc_mean,rain_hours,rain_frac,hours
18.02,KAB. LAMPUNG TENGAH,2024-10-07,26.6,24.9,28.24,75.13,5.42,51.56,7,0.0417,168
18.02,KAB. LAMPUNG TENGAH,2024-10-14,27.25,25.55,28.92,76.98,5.32,44.09,22,0.131,168
18.02,KAB. LAMPUNG TENGAH,2024-10-21,26.5,24.87,28.17,78.02,5.76,44.12,37,0.2202,168
18.02,KAB. LAMPUNG TENGAH,2024-10-28,27.6,26.07,29.18,74.44,5.55,44.91,20,0.119,168
18.02,KAB. LAMPUNG TENGAH,2024-11-04,27.32,25.65,28.85,78.71,7.45,58.8,42,0.25,168
18.02,KAB. LAMPUNG TENGAH,2024-11-11,27.71,26.01,29.42,78.91,7.64,47.06,43,0.256,168
18.02,KAB. LAMPUNG TENGAH,2024-11-18,27.65,25.87,29.45,79.05,7.68,47.65,48,0.2857,168
18.02,KAB. LAMPUNG TENGAH,2024-11-25,28.23,26.66,29.78,77.35,7.51,51.65,58,0.3452,168
18.02,KAB. LAMPUNG TENGAH,2024-12-02,27.15,25.48,28.8,81.74,6.54,63.19,52,0.3095,168
18.02,KAB. LAMPUNG TENGAH,2024-12-09,28.12,26.59,29.9,78.2,9.48,59.79,50,0.2976,168
18.02,KAB. LAMPUNG TENGAH,2024-12-16,28.52,26.91,30.16,83.29,9.45,59.47,70,0.4167,168
18.02,KAB. LAMPUNG TENGAH,2024-12-23,28.79,27.17,30.45,85.42,9.16,55.54,73,0.4345,168
18.02,KAB. LAMPUNG TENGAH,2024-12-30,28.4,26.69,30.07,81.87,9.77,65.59,68,0.4048,168
18.02,KAB. LAMPUNG TENGAH,2025-01-06,27.68,26.1,29.31,79.73,8.01,71.11,75,0.4464,168
18.02,KAB. LAMPUNG TENGAH,2025-01-13,27.91,26.17,29.63,84.98,8.2,65.8,88,0.5238,168
18.02,KAB. LAMPUNG TENGAH,2025-01-20,29.41,27.85,30.93,87.35,10.11,68.79,73,0.4345,168
18.02,KAB. LAMPUNG TENGAH,2025-01-27,28.83,27.06,30.39,83.86,10.71,73.19,91,0.5417,168
18.02,KAB. LAMPUNG TENGAH,2025-02-03,30.03,28.48,31.59,85.98,10.47,75.77,81,0.4821,168
18.02,KAB. LAMPUNG TENGAH,2025-02-10,28.49,26.85,30.29,82.52,11.4,69.91,110,0.6548,168
18.02,KAB. LAMPUNG TENGAH,2025-02-17,29.5,27.71,31.0,91.65,10.79,72.93,92,0.5476,168
18.02,KAB. LAMPUNG TENGAH,2025-02-24,29.24,27.5,30.95,88.89,13.32,76.11,118,0.7024,168
18.02,KAB. LAMPUNG TENGAH,2025-03-03,28.86,27.1,30.38,87.72,11.05,65.99,97,0.5774,168
18.02,KAB. LAMPUNG TENGAH,2025-03-10,30.3,28.6,31.87,87.2,12.01,75.12,104,0.619,168
18.02,KAB. LAMPUNG TENGAH,2025-03-17,28.35,26.57,29.88,85.37,14.38,66.91,97,0.5774,168
18.02,KAB. LAMPUNG TENGAH,2025-03-24,29.4,27.62,31.12,89.77,12.28,62.39,104,0.619,168
18.02,KAB. LAMPUNG TENGAH,2025-03-31,29.56,27.86,31.09,85.17,12.91,72.8,103,0.6131,168
18.02,KAB. LAMPUNG TENGAH,2025-04-07,29.73,28.17,31.29,85.72,11.33,76.6,97,0.5774,168
18.02,KAB. LAMPUNG TENGAH,2025-04-14,29.13,27.37,30.92,83.98,13.06,64.64,114,0.6786,168
18.02,KAB. LAMPUNG TENGAH,2025-04-21,29.33,27.61,30.88,85.8,14.19,68.71,86,0.5119,168
18.02,KAB. LAMPUNG TENGAH,2025-04-28,28.43,26.83,29.96,86.6,13.27,71.94,87,0.5179,168
18.02,KAB. LAMPUNG TENGAH,2025-05-05,29.04,27.39,30.63,90.55,13.62,67.63,75,0.4464,168
18.02,KAB. LAMPUNG TENGAH,2025-05-12,28.7,27.19,30.23,87.91,12.47,68.98,78,0.4643,168
18.02,KAB. LAMPUNG TENGAH,2025-05-19,29.03,27.28,30.59,85.15,13.99,60.63,68,0.4048,168
18.02,KAB. LAMPUNG TENGAH,2025-05-26,26.64,25.12,28.31,86.22,12.97,62.43,59,0.3512,168
18.02,KAB. LAMPUNG TENGAH,2025-06-02,28.67,26.92,30.29,85.71,11.71,74.89,62,0.369,168
18.02,KAB. LAMPUNG TENGAH,2025-06-09,27.01,25.3,28.75,81.73,10.76,66.38,62,0.369,168
18.02,KAB. LAMPUNG TENGAH,2025-06-16,28.93,27.3,30.51,79.63,10.95,64.35,40,0.2381,168
18.02,KAB. LAMPUNG TENGAH,2025-06-23,28.01,26.28,29.67,82.3,11.83,52.38,50,0.2976,168
18.02,KAB. LAMPUNG TENGAH,2025-06-30,27.59,26.01,29.31,82.61,11.99,52.65,29,0.1726,168
18.02,KAB. LAMPUNG TENGAH,2025-07-07,27.39,25.77,28.96,79.93,9.21,54.32,53,0.3155,168
18.02,KAB. LAMPUNG TENGAH,2025-07-14,27.46,25.84,29.2,78.42,10.35,51.38,12,0.0714,168
18.02,KAB. LAMPUNG TENGAH,2025-07-21,27.53,25.77,29.27,77.73,7.43,45.72,21,0.125,168
18.02,KAB. LAMPUNG TENGAH,2025-07-28,27.5,25.85,29.02,76.87,9.02,51.87,41,0.244,168
18.02,KAB. LAMPUNG TENGAH,2025-08-04,26.71,25.04,28.28,80.72,9.63,48.19,11,0.0655,168
18.02,KAB. LAMPUNG TENGAH,2025-08-11,27.0,25.45,28.69,76.33,10.35,52.24,7,0.0417,168
18.03,KAB. LAMPUNG UTARA,2024-08-19,28.79,27.08,30.58,86.55,12.49,71.73,114,0.6786,168
18.03,KAB. LAMPUNG UTARA,2024-08-26,28.91,27.11,30.44,88.01,13.18,84.2,100,0.5952,168
18.03,KAB. LAMPUNG UTARA,2024-09-02,28.9,27.17,30.6,85.18,10.26,70.95,113,0.6726,168
18.03,KAB. LAMPUNG UTARA,2024-09-09,28.97,27.4,30.57,84.16,9.42,66.75,86,0.5119,168
18.03,KAB. LAMPUNG UTARA,2024-09-16,29.24,27.66,30.78,90.79,9.3,70.97,68,0.4048,168
18.03,KAB. LAMPUNG UTARA,2024-09-23,28.67,27.16,30.22,85.76,10.87,75.05,81,0.4821,168
18.03,KAB. LAMPUNG UTARA,2024-09-30,29.16,27.45,30.71,86.52,11.04,64.96,89,0.5298,168
18.03,KAB. LAMPUNG UTARA,2024-10-07,28.04,26.34,29.71,85.56,9.79,71.85,69,0.4107,168
18.03,KAB. LAMPUNG UTARA,2024-10-14,28.3,26.58,30.06,87.38,9.91,55.46,82,0.4881,168
18.03,KAB. LAMPUNG UTARA,2024-10-21,28.37,26.68,29.98,81.81,7.79,63.55,80,0.4762,168
18.03,KAB. LAMPUNG UTARA,2024-10-28,28.02,26.25,29.73,79.7,6.91,60.54,76,0.4524,168
18.03,KAB. LAMPUNG UTARA,2024-11-04,28.01,26.35,29.73,79.67,8.14,67.97,58,0.3452,168
18.03,KAB. LAMPUNG UTARA,2024-11-11,28.55,26.98,30.17,81.54,7.56,61.25,53,0.3155,168
18.03,KAB. LAMPUNG UTARA,2024-11-18,28.31,26.78,29.81,79.28,6.34,51.12,63,0.375,168
18.03,KAB. LAMPUNG UTARA,2024-11-25,27.59,25.99,29.28,81.98,7.9,51.24,46,0.2738,168
18.03,KAB. LAMPUNG UTARA,2024-12-02,26.89,25.21,28.5,78.7,7.0,47.71,36,0.2143,168
18.03,KAB. LAMPUNG UTARA,2024-12-09,26.71,24.96,28.29,76.55,7.53,44.67,27,0.1607,168
18.03,KAB. LAMPUNG UTARA,2024-12-16,26.33,24.71,27.98,77.55,7.73,50.63,33,0.1964,168
18.03,KAB. LAMPUNG UTARA,2024-12-23,26.63,24.87,28.26,79.58,6.95,52.19,32,0.1905,168
18.03,KAB. LAMPUNG UTARA,2024-12-30,27.2,25.62,28.73,81.57,6.63,48.71,44,0.2619,168
18.03,KAB. LAMPUNG UTARA,2025-01-06,26.5,24.99,28.08,75.35,6.96,39.1,20,0.119,168
18.03,KAB. LAMPUNG UTARA,2025-01-13,26.5,24.87,28.09,77.71,8.45,45.83,25,0.1488,168
18.03,KAB. LAMPUNG UTARA,2025-01-20,27.25,25.56,28.98,76.62,8.24,36.62,25,0.1488,168
18.03,KAB. LAMPUNG UTARA,2025-01-27,26.56,25.0,28.26,79.91,6.52,44.75,17,0.1012,168
18.03,KAB. LAMPUNG UTARA,2025-02-03,26.56,24.91,28.21,74.88,7.98,49.34,11,0.0655,168
18.03,KAB. LAMPUNG UTARA,2025-02-10,27.35,25.76,28.97,74.93,7.57,57.17,21,0.125,168
18.03,KAB. LAMPUNG UTARA,2025-02-17,27.18,25.47,28.87,74.8,8.54,37.74,34,0.2024,168
18.03,KAB. LAMPUNG UTARA,2025-02-24,26.72,24.95,28.23,76.04,9.39,37.48,25,0.1488,168
18.03,KAB. LAMPUNG UTARA,2025-03-03,27.57,25.93,29.34,76.01,7.86,53.61,38,0.2262,168
18.03,KAB. LAMPUNG UTARA,2025-03-10,27.38,25.79,28.94,77.61,8.63,48.06,37,0.2202,168
18.03,KAB. LAMPUNG UTARA,2025-03-17,27.6,25.85,29.22,77.18,9.96,42.8,30,0.1786,168
18.03,KAB. LAMPUNG UTARA,2025-03-24,27.53,26.02,29.13,79.43,9.61,53.16,32,0.1905,168
18.03,KAB. LAMPUNG UTARA,2025-03-31,27.09,25.44,28.62,76.67,11.37,53.18,24,0.1429,168
18.03,KAB. LAMPUNG UTARA,2025-04-07,28.57,26.94,30.2,78.07,9.84,44.02,40,0.2381,168
18.03,KAB. LAMPUNG UTARA,2025-04-14,27.35,25.67,29.09,81.06,9.27,44.05,48,0.2857,168
18.03,KAB. LAMPUNG UTARA,2025-04-21,28.06,26.47,29.65,80.17,11.07,55.86,59,0.3512,168
18.03,KAB. LAMPUNG UTARA,2025-04-28,27.26,25.46,28.84,79.6,13.67,53.14,34,0.2024,168
18.03,KAB. LAMPUNG UTARA,2025-05-05,28.32,26.63,29.9,85.15,10.82,53.37,52,0.3095,168
18.03,KAB. LAMPUNG UTARA,2025-05-12,27.21,25.66,28.96,83.67,11.73,61.4,57,0.3393,168
18.03,KAB. LAMPUNG UTARA,2025-05-19,28.69,27.0,30.32,85.34,11.3,69.55,64,0.381,168
18.03,KAB. LAMPUNG UTARA,2025-05-26,28.99,27.22,30.77,83.38,13.53,59.51,80,0.4762,168
18.03,KAB. LAMPUNG UTARA,2025-06-02,28.3,26.68,30.02,86.22,12.8,68.5,85,0.506,168
18.03,KAB. LAMPUNG UTARA,2025-06-09,29.06,27.39,30.82,83.14,13.24,72.13,64,0.381,168
18.03,KAB. LAMPUNG UTARA,2025-06-16,28.39,26.81,30.15,86.34,11.07,71.84,65,0.3869,168
18.03,KAB. LAMPUNG UTARA,2025-06-23,28.85,27.27,30.55,85.47,11.98,76.34,96,0.5714,168
18.03,KAB. LAMPUNG UTARA,2025-06-30,29.28,27.56,30.93,84.36,13.18,76.8,95,0.5655,168
18.03,KAB. LAMPUNG UTARA,2025-07-07,28.88,27.32,30.47,84.44,13.57,67.75,110,0.6548,168
18.03,KAB. LAMPUNG UTARA,2025-07-14,28.69,26.97,30.19,88.71,11.18,73.99,89,0.5298,168
18.03,KAB. LAMPUNG UTARA,2025-07-21,30.11,28.4,31.66,86.87,13.53,84.79,83,0.494,168
18.03,KAB. LAMPUNG UTARA,2025-07-28,29.13,27.5,30.78,91.68,12.12,73.76,102,0.6071,168
18.03,KAB. LAMPUNG UTARA,2025-08-04,28.51,26.78,30.24,86.45,12.4,75.12,115,0.6845,168
18.03,KAB. LAMPUNG UTARA,2025-08-11,30.05,28.55,31.56,88.44,13.71,78.97,103,0.6131,168
18.04,KAB. LAMPUNG BARAT,2024-08-19,26.5,24.78,28.06,78.7,9.29,39.53,16,0.0952,168
18.04,KAB. LAMPUNG BARAT,2024-08-26,25.93,24.34,27.45,78.34,9.54,41.95,25,0.1488,168
18.04,KAB. LAMPUNG BARAT,2024-09-02,27.15,25.45,28.7,74.71,7.44,43.65,15,0.0893,168
18.04,KAB. LAMPUNG BARAT,2024-09-09,26.89,25.38,28.58,75.01,5.13,34.41,12,0.0714,168
18.04,KAB. LAMPUNG BARAT,2024-09-16,25.8,24.16,27.31,75.81,7.68,38.48,10,0.0595,168
18.04,KAB. LAMPUNG BARAT,2024-09-23,27.2,25.58,28.96,79.9,8.28,47.88,24,0.1429,168
18.04,KAB. LAMPUNG BARAT,2024-09-30,27.02,25.36,28.65,75.69,5.79,39.87,18,0.1071,168
18.04,KAB. LAMPUNG BARAT,2024-10-07,26.7,24.99,28.22,79.42,6.47,36.99,19,0.1131,168
18.04,KAB. LAMPUNG BARAT,2024-10-14,27.13,25.43,28.87,78.36,5.29,50.58,22,0.131,168
18.04,KAB. LAMPUNG BARAT,2024-10-21,27.48,25.93,29.21,80.42,6.94,46.75,23,0.1369,168
18.04,KAB. LAMPUNG BARAT,2024-10-28,27.35,25.81,29.14,75.39,7.79,52.15,17,0.1012,168
18.04,KAB. LAMPUNG BARAT,2024-11-04,26.2,24.51,27.8,77.94,7.53,54.55,27,0.1607,168
18.04,KAB. LAMPUNG BARAT,2024-11-11,27.85,26.28,29.47,81.95,8.95,45.06,53,0.3155,168
18.04,KAB. LAMPUNG BARAT,2024-11-18,27.97,26.36,29.48,79.27,6.87,58.97,40,0.2381,168
18.04,KAB. LAMPUNG BARAT,2024-11-25,27.16,25.59,28.74,82.44,6.38,46.84,55,0.3274,168
18.04,KAB. LAMPUNG BARAT,2024-12-02,27.87,26.11,29.62,80.34,9.7,53.72,49,0.2917,168
18.04,KAB. LAMPUNG BARAT,2024-12-09,28.07,26.38,29.68,84.74,8.73,57.14,52,0.3095,168
18.04,KAB. LAMPUNG BARAT,2024-12-16,27.68,26.05,29.27,82.71,7.53,57.64,64,0.381,168
18.04,KAB. LAMPUNG BARAT,2024-12-23,28.68,27.16,30.39,82.36,9.03,62.79,75,0.4464,168
18.04,KAB. LAMPUNG BARAT,2024-12-30,28.39,26.61,29.97,89.55,8.75,66.65,75,0.4464,168
18.04,KAB. LAMPUNG BARAT,2025-01-06,28.74,26.95,30.48,81.8,10.38,79.03,73,0.4345,168
18.04,KAB. LAMPUNG BARAT,2025-01-13,28.33,26.66,29.99,84.14,9.22,70.99,69,0.4107,168
18.04,KAB. LAMPUNG BARAT,2025-01-20,29.07,27.55,30.76,85.97,9.68,70.57,88,0.5238,168
18.04,KAB. LAMPUNG BARAT,2025-01-27,28.37,26.6,30.1,85.99,12.61,68.46,82,0.4881,168
18.04,KAB. LAMPUNG BARAT,2025-02-03,28.4,26.77,30.01,82.86,10.89,65.28,89,0.5298,168
18.04,KAB. LAMPUNG BARAT,2025-02-10,29.09,27.34,30.75,87.66,11.93,64.36,83,0.494,168
18.04,KAB. LAMPUNG BARAT,2025-02-17,29.73,28.11,31.4,88.02,10.75,71.96,100,0.5952,168
18.04,KAB. LAMPUNG BARAT,2025-02-24,28.5,26.93,30.16,83.38,10.93,74.09,114,0.6786,168
18.04,KAB. LAMPUNG BARAT,2025-03-03,29.85,28.07,31.54,84.49,11.62,76.55,94,0.5595,168
18.04,KAB. LAMPUNG BARAT,2025-03-10,29.17,27.53,30.79,88.09,12.34,75.26,101,0.6012,168
18.04,KAB. LAMPUNG BARAT,2025-03-17,29.14,27.37,30.9,85.61,13.66,68.45,117,0.6964,168
18.04,KAB. LAMPUNG BARAT,2025-03-24,28.58,26.88,30.21,87.2,11.38,78.33,97,0.5774,168
18.04,KAB. LAMPUNG BARAT,2025-03-31,28.5,26.73,30.16,88.62,13.48,80.38,96,0.5714,168
18.04,KAB. LAMPUNG BARAT,2025-04-07,29.36,27.6,31.03,85.18,13.46,72.16,98,0.5833,168
18.04,KAB. LAMPUNG BARAT,2025-04-14,29.55,27.76,31.1,87.05,14.88,77.26,89,0.5298,168
18.04,KAB. LAMPUNG BARAT,2025-04-21,28.57,27.0,30.16,86.36,13.91,73.76,88,0.5238,168
18.04,KAB. LAMPUNG BARAT,2025-04-28,28.39,26.83,29.92,82.31,13.62,83.45,94,0.5595,168
18.04,KAB. LAMPUNG BARAT,2025-05-05,26.67,25.16,28.46,88.16,13.06,66.28,89,0.5298,168
18.04,KAB. LAMPUNG BARAT,2025-05-12,29.42,27.89,31.2,84.82,12.56,63.68,88,0.5238,168
18.04,KAB. LAMPUNG BARAT,2025-05-19,29.36,27.56,30.88,84.77,13.22,70.22,77,0.4583,168
18.04,KAB. LAMPUNG BARAT,2025-05-26,28.94,27.28,30.57,83.17,12.63,67.09,65,0.3869,168
18.04,KAB. LAMPUNG BARAT,2025-06-02,28.26,26.56,29.88,77.98,12.25,64.77,62,0.369,168
18.04,KAB. LAMPUNG BARAT,2025-06-09,27.97,26.4,29.62,80.57,12.26,56.75,77,0.4583,168
18.04,KAB. LAMPUNG BARAT,2025-06-16,27.28,25.75,28.87,82.42,9.94,56.8,68,0.4048,168
18.04,KAB. LAMPUNG BARAT,2025-06-23,27.71,26.21,29.39,80.28,10.41,56.33,40,0.2381,168
18.04,KAB. LAMPUNG BARAT,2025-06-30,27.78,26.07,29.47,79.33,11.72,59.18,46,0.2738,168
18.04,KAB. LAMPUNG BARAT,2025-07-07,27.58,26.0,29.29,79.78,11.92,51.03,53,0.3155,168
18.04,KAB. LAMPUNG BARAT,2025-07-14,27.82,26.04,29.34,78.74,10.1,50.37,31,0.1845,168
18.04,KAB. LAMPUNG BARAT,2025-07-21,26.92,25.16,28.55,78.99,12.28,47.97,37,0.2202,168
18.04,KAB. LAMPUNG BARAT,2025-07-28,27.19,25.58,28.81,81.21,9.51,47.69,24,0.1429,168
18.04,KAB. LAMPUNG BARAT,2025-08-04,28.28,26.58,30.0,76.23,10.51,54.35,32,0.1905,168
18.04,KAB. LAMPUNG BARAT,2025-08-11,26.08,24.48,27.68,76.61,8.24,48.23,4,0.0238,168
18.05,KAB. TULANG BAWANG,2024-08-19,28.5,26.87,30.22,82.4,10.56,59.83,63,0.375,168
18.05,KAB. TULANG BAWANG,2024-08-26,27.23,25.69,28.85,85.4,8.85,42.87,49,0.2917,168
18.05,KAB. TULANG BAWANG,2024-09-02,28.27,26.55,30.02,80.66,10.25,52.6,46,0.2738,168
18.05,KAB. TULANG BAWANG,2024-09-09,28.05,26.53,29.7,81.19,10.73,54.95,43,0.256,168
18.05,KAB. TULANG BAWANG,2024-09-16,26.97,25.2,28.69,81.37,9.01,50.78,49,0.2917,168
18.05,KAB. TULANG BAWANG,2024-09-23,27.37,25.59,29.13,76.44,9.33,48.25,41,0.244,168
18.05,KAB. TULANG BAWANG,2024-09-30,27.63,25.94,29.13,79.33,8.73,50.21,34,0.2024,168
18.05,KAB. TULANG BAWANG,2024-10-07,26.7,25.0,28.49,79.58,6.34,55.38,39,0.2321,168
18.05,KAB. TULANG BAWANG,2024-10-14,27.69,26.03,29.4,78.92,8.05,49.34,26,0.1548,168
18.05,KAB. TULANG BAWANG,2024-10-21,27.56,25.96,29.09,80.25,7.04,48.42,18,0.1071,168
18.05,KAB. TULANG BAWANG,2024-10-28,26.74,25.06,28.43,77.57,7.25,37.28,16,0.0952,168
18.05,KAB. TULANG BAWANG,2024-11-04,26.41,24.72,27.92,77.39,7.23,46.95,11,0.0655,168
18.05,KAB. TULANG BAWANG,2024-11-11,26.56,24.77,28.32,76.1,5.16,54.16,7,0.0417,168
18.05,KAB. TULANG BAWANG,2024-11-18,27.27,25.72,29.05,76.45,7.67,42.17,3,0.0179,168
18.05,KAB. TULANG BAWANG,2024-11-25,27.29,25.67,29.0,80.95,8.41,40.14,21,0.125,168
18.05,KAB. TULANG BAWANG,2024-12-02,26.61,24.93,28.24,75.02,7.45,43.3,17,0.1012,168
18.05,KAB. TULANG BAWANG,2024-12-09,27.37,25.61,28.97,78.86,8.22,52.93,21,0.125,168
18.05,KAB. TULANG BAWANG,2024-12-16,26.53,24.9,28.16,73.31,7.69,45.14,19,0.1131,168
18.05,KAB. TULANG BAWANG,2024-12-23,26.26,24.59,28.02,76.95,8.32,44.04,24,0.1429,168
18.05,KAB. TULANG BAWANG,2024-12-30,26.92,25.38,28.48,77.95,8.02,55.36,26,0.1548,168
18.05,KAB. TULANG BAWANG,2025-01-06,25.91,24.22,27.69,77.2,8.76,48.37,35,0.2083,168
18.05,KAB. TULANG BAWANG,2025-01-13,26.92,25.36,28.72,78.64,8.64,60.69,32,0.1905,168
